phase,name,instance_oid,access,syntax,status,detail,old_value,new_value
set-readback,preemptTrackRedClear,1.3.6.1.4.1.1206.4.2.1.6.2.1.25.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,preemptTrackYellowChange,1.3.6.1.4.1.1206.4.2.1.6.2.1.24.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupForceOff,1.3.6.1.4.1.1206.4.2.1.7.5.1.3.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupMax2,1.3.6.1.4.1.1206.4.2.1.7.5.1.4.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupMaxInhibit,1.3.6.1.4.1.1206.4.2.1.7.5.1.5.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupOmitRedClear,1.3.6.1.4.1.1206.4.2.1.7.5.1.8.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupPedRecycle,1.3.6.1.4.1.1206.4.2.1.7.5.1.6.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupRedRest,1.3.6.1.4.1.1206.4.2.1.7.5.1.7.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,ringControlGroupStopTime,1.3.6.1.4.1.1206.4.2.1.7.5.1.2.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
set-readback,sequenceData,1.3.6.1.4.1.1206.4.2.1.7.3.1.3.1.1,read-write,OCTET STRING,PASS,invalid Set rejected,'ZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ','SET'
set-readback,specialFunctionOutputControl,1.3.6.1.4.1.1206.4.2.1.3.14.1.3.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
set-readback,splitCoordPhase,1.3.6.1.4.1.1206.4.2.1.4.9.1.5.1.1,read-write,INTEGER (0..1),PASS,invalid Set rejected,1,0
set-readback,splitMode,1.3.6.1.4.1.1206.4.2.1.4.9.1.4.1.1,read-write,"INTEGER { other(1), none (2), minimumVehicleRecall (3), maximumVehicleRecall (4)",PASS,invalid Set rejected,7,1
set-readback,splitTime,1.3.6.1.4.1.1206.4.2.1.4.9.1.3.1.1,read-write,INTEGER (0..255),PASS,invalid Set rejected,255,0
